;Punjab;Haryana;Rajasthan;Delhi;UP;Uttarakhand;HP;J&K;Chandigarh;Chhattisgarh;Gujarat;MP;Maharashtra;Goa;DNH;Andhra Pradesh;Telangana;Karnataka;Kerala;Tamil Nadu;Pondy;Bihar;Jharkhand;Odisha;West Bengal;Sikkim;Arunachal Pradesh;Assam;Manipur;Meghalaya;Mizoram;Nagaland;Tripura
12.07.2019;100;115;211.8;62.6;268.3;34.1;27.апр;43.5;03.апр;70.7;318.5;235.2;429.8;12;18;173.8;190.6;183.5;72.6;291.4;07.апр;67.8;23.сен;73.6;111.2;01.май;02.янв;23.июн;02.июн;05.сен;01.авг;02.янв;03.май
12.07.2019;105.3;114.6;214.7;63.6;266.3;34.1;27.июл;43.9;03.май;71.1;318.6;238.4;431.3;13.апр;18.мар;167.6;194.8;186.2;71.5;290.2;07.апр;67.5;24.янв;74.9;114.1;01.апр;02.янв;23.фев;02.май;6;01.сен;02.янв;03.май
13.07.2019;104.4;116.7;215.5;63.4;266.6;34.6;27.сен;44.4;03.апр;71.6;326.4;240.6;433.4;13;18.апр;168.6;197.2;186.2;71.6;279.1;07.фев;68.2;24.мар;74.8;112.6;01.авг;02.янв;23.мар;02.май;6;02.фев;02.мар;4
14.07.2019;106.3;116.3;218.7;64;265.9;34.5;27.мар;44.5;03.апр;72.3;334.4;244;429.8;13;18.мар;169.6;190.4;186.4;71.9;273.6;07.фев;68.7;24.фев;74.1;114.2;01.сен;2;23.июл;02.апр;6;01.июл;02.янв;03.июн
15.07.2019;102.7;114.6;220.6;60.4;260;34.7;28.фев;43;03.мар;71.2;331.3;245;431;13;18.мар;169.3;177.5;188;72;267.5;06.сен;67.6;24.июн;73.8;113.9;01.сен;02.янв;23.мар;02.май;06.фев;01.авг;02.янв;03.июн
16.07.2019;98.9;105.6;215;58;255.2;31.май;25.июл;43.7;02.сен;70.8;321.7;246;417.1;11.авг;18;167.3;174;176.5;65.8;244.6;06.мар;67.8;24.янв;72.1;102.9;01.фев;02.фев;21.июл;02.июн;06.янв;01.авг;02.янв;03.мар
17.07.2019;124.5;123.4;220.5;61.6;289;35.5;26.июн;46.2;3;81.1;342.9;203.6;457.5;09.авг;18.мар;192.4;225.2;247.7;80.3;338.2;07.сен;76.7;20.июн;75.7;129.3;0.9;02.фев;23.июл;02.апр;06.янв;01.авг;02.янв;03.сен
18.07.2019;130.5;127;218.3;61.7;297;34.8;26.сен;46.3;03.янв;93.1;341;207.8;466.3;10.май;18.апр;196.9;229.8;252.8;83.3;348;08.мар;78.3;22.апр;85.3;144.4;01.янв;02.янв;23.янв;02.май;6;01.сен;02.фев;03.сен
19.07.2019;124.2;121.7;211.7;60.1;295.8;32.1;26.апр;45.2;03.янв;87;326.8;205.1;462.2;10.сен;18.фев;197.8;231.2;250.4;83.3;349.7;08.апр;76.4;23.июн;85.1;148.9;01.фев;02.янв;23.апр;02.апр;05.сен;01.авг;02.фев;03.сен
20.07.2019;115.1;98.4;187.8;46.1;274.1;23.янв;18.сен;45.4;02.май;69.9;256.6;186.3;406.8;09.мар;12.янв;193.1;218;247.6;81.4;339.8;07.май;72.9;21.сен;81.6;136.7;1;2;22.мар;02.апр;05.авг;01.авг;02.янв;03.авг
21.07.2019;114.6;109.1;199.1;54.4;268.5;27.мар;21.июл;40.9;3;79.3;300;193;439.2;09.сен;14;196.4;225.6;248.4;82.2;347.6;08.фев;74.6;21.фев;80;136.4;01.фев;2;21.фев;02.июл;05.июл;01.авг;2;03.авг
22.07.2019;119.6;114.1;208.2;57.9;267.7;32.3;25.май;45.7;02.сен;87.3;333.3;198.8;460.8;11.июл;17.апр;200.7;224.6;249.4;82.6;349.2;08.июл;75.5;22.июн;83.3;140.5;01.фев;2;21.июл;02.май;06.янв;01.авг;2;4
23.07.2019;117.9;113.6;211.1;58.2;279.9;33;24.июн;46.4;02.июл;91.3;333.7;200.9;452;12.апр;17.сен;195.8;222;240.6;77.5;328.1;8;77.1;22.сен;84.9;137.4;01.янв;01.сен;23.фев;02.июн;05.сен;01.июл;02.янв;03.сен
24.07.2019;96.6;115;217.7;64.2;256.7;36.6;29;47.8;03.май;84.3;324.5;218.2;419.4;11.сен;17.май;190.1;195.8;220.3;72.7;319.7;07.май;70;22;74.6;120.4;01.май;02.фев;20.сен;02.сен;06.мар;01.июл;02.фев;03.сен
25.07.2019;96.3;116.6;232.5;65;257.1;36.1;27.мар;47.9;03.фев;84.5;327.9;223.4;425.1;11.сен;18;192.8;203.3;233.1;75.2;330.9;07.авг;68.5;22.сен;76.8;127.1;01.май;02.фев;21.сен;02.мар;06.июл;01.авг;02.фев;4
26.07.2019;101;116.2;231.1;65.3;261.5;37.7;29;47.6;03.апр;88.5;329.9;227.2;436.2;11.авг;18.апр;187.7;205.3;234.9;76.6;326;07.июл;69.4;22.янв;77;116.3;1;02.фев;22.фев;02.сен;06.май;01.июл;02.янв;03.авг
27.07.2019;97.9;113.4;233.4;65;263.7;37;30.авг;42.9;03.апр;91.1;335.8;222.8;442.4;11.фев;18.май;193.6;205.5;231.5;76.9;323;07.июл;71.1;23;78;137;01.апр;02.фев;23.июн;02.июн;06.май;01.авг;02.фев;03.авг
28.07.2019;102.1;118.2;235;65.6;263.8;37.4;27.май;43;03.апр;92.1;335.9;231;443.5;10.сен;18.апр;192.6;212.4;229;75.1;321;07.авг;73;22.мар;80.6;139.4;01.июн;02.фев;23.апр;02.июн;06.апр;01.авг;02.фев;03.июн
29.07.2019;102.4;119.6;235.3;61.1;265.3;37.2;28.мар;43.4;03.фев;92.2;328.5;232.4;441.3;10.сен;18.фев;191.9;211.4;228.6;74;318.7;07.авг;70.6;22.сен;83.1;139.5;01.июн;02.фев;23.сен;02.июн;06.мар;2;02.янв;03.сен
30.07.2019;98.4;110.4;231.4;59.2;263.6;34.4;24.июл;42.3;3;92.7;313.7;229.2;424.4;10.сен;18.янв;190.2;209.9;215.4;68;294.7;07.фев;73.1;23.июл;82;131.2;01.янв;2;22.июн;02.янв;06.янв;01.авг;01.сен;03.сен
31.07.2019;232;169.4;235.1;114.8;405.1;41.8;29;49.3;6;83.8;330.9;195;473.9;11.май;17.май;193.4;166.1;218.2;75;347.5;08.сен;108.7;27.фев;87.4;187.7;01.фев;02.апр;30.2;02.мар;05.янв;01.май;02.мар;5
01.08.2019;206.1;140.6;223.7;99.3;384.1;42.6;29.апр;44.9;05.май;87.9;316.1;202.7;476.8;11.май;17.авг;197;171;217.5;75.8;354.1;09.фев;106.4;27.мар;82.8;176.5;01.фев;02.апр;32.7;02.мар;05.июл;01.май;02.мар;05.июл
02.08.2019;246.5;172.2;208.5;106.4;394.1;44.2;29.июн;45.9;05.июл;89.6;319.2;187.8;473.8;11.май;17.сен;204;172.7;218.4;73.3;355.5;9;106.7;26.июн;92.9;192;01.мар;02.мар;33.9;02.май;6;01.июл;02.фев;05.авг
03.08.2019;228.4;179.9;224;112;389.6;44.1;29.авг;44.9;05.июл;88.9;338.8;196.1;479.4;11.май;18.фев;195.3;170.2;218.4;72;348.5;09.янв;108.4;25.июн;102.3;184.5;01.мар;02.фев;35.1;02.июн;05.сен;01.авг;02.мар;05.апр
04.08.2019;242.1;189.3;228.2;122.7;425.1;45.8;30.янв;45.4;05.май;85.9;352;203.1;474.3;13.янв;18.фев;183;149.4;203.3;66.7;336.7;09.июл;109.2;22.авг;82.2;175.3;01.мар;02.мар;33.2;02.июн;6;01.июл;02.фев;05.апр
05.08.2019;263.8;197.7;241.8;118.5;398.6;46;30.апр;44.2;05.июн;75.1;354.3;198.1;463.8;12.апр;18.мар;183;149.4;203.3;66.7;336.7;09.июл;80.4;21;79.8;170;01.мар;02.фев;32;02.июн;05.июл;01.июл;02.янв;05.янв
06.08.2019;259.3;196.1;240.1;121;382;40.8;28.фев;41;05.июн;76.7;335.9;189.1;429.1;12.апр;18.фев;169.6;144.8;182.3;63.4;310.1;08.июл;97.7;24;84.3;163.8;1;02.мар;32.3;02.май;6;01.авг;02.апр;05.мар
08.08.2019;135.7;128.2;220.8;75.7;361.1;28;20.июн;43;03.апр;75.7;299.7;204.5;404.9;09.янв;07.мар;177.6;144.2;192.5;63.7;277.3;06.авг;101.6;26.мар;81.3;149;0.9;01.сен;21.май;02.апр;04.авг;01.май;02.фев;04.июн
09.08.2019;142.3;135.5;225.6;78.7;367.1;30.июн;22.апр;43.3;03.авг;76.3;303.5;205.3;418.3;10.мар;07.апр;174.1;149.5;169.2;63.3;270.5;7;105.9;26.сен;83.4;157.7;01.мар;01.сен;27.июн;02.июн;5;01.май;02.янв;05.май
10.08.2019;143.6;134;231.8;81.3;370.6;31.июл;23.июн;44.2;03.сен;76.2;307;208.3;420.9;10.май;07.сен;164.7;151.3;174;65.6;274.7;06.сен;102.2;26.май;74.2;148.2;01.фев;01.сен;30.сен;02.июн;05.фев;01.июл;02.янв;04.янв
11.08.2019;145.4;139.8;230;82.3;383.2;32.9;23.авг;45.3;4;74.8;308.6;203.8;426.2;10.июн;08.янв;175.5;159.8;188;70.1;296.7;07.июл;93.3;19.мар;57.4;75.1;01.фев;2;28.апр;02.апр;5;01.июн;02.фев;03.июл
12.08.2019;160.4;142.4;233.5;84.8;382.7;33.7;24.мар;43.4;04.фев;78;316.6;207.2;434.5;10.июн;08.фев;186.9;166.9;196.5;71.2;302.2;07.авг;81.6;17.апр;70;51.5;01.янв;02.янв;20.фев;02.авг;04.апр;01.май;02.мар;03.июл
13.08.2019;168.2;154.5;237.2;91.7;402.6;35.2;24.авг;44.9;04.май;79.2;317.1;209.3;442.1;10.мар;08.июн;192.3;173.3;201.3;72.4;306.5;08.фев;92.5;23.май;77.2;78.3;01.мар;2;21.июл;02.апр;04.июл;01.июл;02.мар;04.янв
14.08.2019;171;158;244.1;95.2;417.5;36.1;24.янв;41.2;04.июн;79.4;315.2;216.6;443.5;10.июл;08.янв;195.9;168.1;201.2;74;311.9;08.янв;98.6;27.мар;84.5;102.9;01.мар;01.май;23.июн;02.май;05.янв;01.апр;02.янв;04.июл
15.08.2019;130.8;138.4;247.1;62.6;289.7;35.7;27;49.1;03.май;85.3;352.8;270.2;484.7;10.фев;18.мар;193.5;247.4;240;77.3;311.3;06.сен;75.3;24;71.6;121;01.авг;02.май;22.июн;02.июл;06.июл;01.авг;02.мар;03.апр
16.08.2019;129.7;142.3;250.9;64;292.4;36.7;26.сен;48.8;03.май;86.9;353;272;493.9;10.мар;18.июл;197.3;252.5;244.1;77.4;317.5;07.мар;74.8;23.сен;71.1;125.4;01.авг;02.фев;22.май;02.июн;06.фев;01.июн;02.мар;03.май
17.08.2019;120.4;138.8;250.6;65.1;291.2;35.7;28;51.6;03.июл;86.5;356.3;272.3;497.9;10.июл;18.июл;198.1;254.3;247.8;76.5;321.5;07.май;76.1;23.июн;73.3;124.2;01.сен;02.фев;22.апр;02.июл;06.мар;01.июн;02.фев;03.май
18.08.2019;110.3;127.1;246.9;63.6;279.7;36.5;26.сен;47;03.июн;88.6;363.5;271.7;499.8;10.сен;18.май;197.4;250.3;246.6;75.3;319.1;07.май;76.5;23.июл;74.6;124.8;01.авг;02.мар;23.янв;02.авг;06.мар;01.июн;02.янв;03.фев
19.08.2019;105.7;107.8;248.9;64.3;234.2;32.8;26.фев;50.2;03.апр;88.7;334.7;264.2;491.7;10.июн;18.апр;194.6;254.3;243.4;74.7;314.8;07.июл;76.2;24.май;71.5;130;01.авг;02.янв;22.сен;02.авг;06.янв;01.июн;02.янв;03.апр
20.08.2019;118;115.6;247.3;60.7;247.1;34.6;26.авг;49.5;03.мар;88.1;349.9;255.9;489.1;10.июн;18.май;194.6;252.2;236.8;76.9;316.4;07.апр;64;24.мар;71.6;124.9;01.июл;2;22.авг;02.июн;6;01.июл;02.янв;03.апр
21.08.2019;114.3;112.1;236.3;59.4;250.7;32.7;25.авг;47.6;03.янв;86;341.7;252;477.6;09.апр;18.апр;191.3;249.5;230;71.1;291;07.фев;70.2;23.июн;70.6;113.2;01.апр;02.янв;20;02.июн;05.сен;01.июн;02.фев;03.фев
22.08.2019;103;114.3;217.9;67.6;243.5;37.1;29.июл;48.8;04.фев;72.7;307.5;221.8;434.9;12.май;18.май;155.9;204.5;195.5;68.7;255.2;06.авг;64.1;22.апр;68.4;109.9;01.июл;02.янв;20.сен;02.май;6;01.авг;02.янв;03.апр
23.08.2019;105;119.2;222.5;70.2;253.5;38.5;30;48.9;04.фев;75.8;309.1;223.8;445.4;12.июл;18.июн;158.2;208.6;198.9;67.1;266.2;7;65.4;24.фев;68.9;112.9;01.авг;02.янв;21.фев;02.июн;05.сен;01.авг;02.янв;03.май
24.08.2019;109.4;120.7;223.2;70.2;263.3;39.3;31.май;50.2;04.апр;76.2;316.4;224.1;444.6;12.апр;18.авг;160.2;211.7;196.4;69.8;270.6;07.янв;71;23.сен;69.3;111.2;01.авг;02.янв;22;02.июн;6;01.авг;02.фев;03.май
25.08.2019;107.5;122.4;227.8;73.2;266.5;39.4;31.янв;48.1;04.май;76.8;329.4;230.9;444.1;11.май;18.авг;166.5;215.6;202.9;71.2;274.3;07.янв;67.3;24;66.7;112.4;01.сен;2;20.сен;02.май;6;01.июн;2;03.июн
26.08.2019;114;125.4;234.8;74.8;271.7;38.8;30.апр;50.9;04.апр;77.9;332.8;236.3;443.7;11.май;18.июн;167.6;214.2;204.9;71.7;281.8;07.янв;71.7;24.июн;67;109.4;01.сен;02.янв;22.янв;02.авг;06.янв;01.сен;02.фев;03.апр
27.08.2019;114.7;124.1;233.4;70.7;267.8;38.5;30.мар;48;04.мар;77;329.7;239.5;443.6;12.июл;18.июл;167.4;216.1;202.6;70;268.8;06.сен;71.5;25.фев;65.8;112.6;01.сен;02.фев;22.янв;02.июн;06.фев;01.сен;02.фев;03.май
28.08.2019;111.3;115.8;227.9;70;266.1;36;28.фев;50.6;03.сен;79.7;316;240.9;431;11.сен;18.май;164.8;216.4;192.6;64.7;254.8;06.мар;73.4;25.мар;66.4;104.1;01.июл;02.янв;20.мар;02.май;05.сен;01.сен;02.янв;03.май
29.08.2019;238.1;212.7;243.9;124.6;405.3;41;29.июн;39.7;6;97;301.1;172.7;407.9;11.авг;18.июн;172.8;199.8;188.3;67.7;276.8;07.апр;108.4;25.янв;105.3;175.3;1;02.фев;31.6;02.июн;05.апр;01.июн;02.янв;05.сен
30.08.2019;239.6;209.7;245.4;125.1;393.2;38.2;30;41.2;05.сен;89.8;311.6;167.7;412.2;11.мар;18.янв;162.7;194.5;179.8;69.2;274.6;06.сен;93.4;25.янв;103;174.9;01.янв;02.янв;31.4;02.апр;05.мар;01.июн;02.янв;05.мар
31.08.2019;243;208.4;245.5;121;351.9;37.7;31.май;42.2;05.авг;90.6;316.1;169.8;399.2;11.май;18.июл;159.2;161.5;177.7;68.4;282.1;07.май;79.2;25.апр;105.7;164.1;01.фев;02.мар;33.1;02.апр;05.мар;01.июн;02.мар;05.фев
01.09.2019;224;200.4;240.5;113.9;350.6;40.2;30.май;39.1;05.апр;95.8;320.2;174.1;386.2;11.май;18.апр;153.8;167.1;171.9;68.6;277;07.апр;96.1;26.фев;109.6;172.8;01.янв;02.мар;36.1;02.апр;05.май;01.июл;02.апр;05.авг
02.09.2019;225.2;200.8;242.4;113.4;375.3;40.8;29.авг;42.7;05.фев;100;321;173.2;383.2;11.май;18.янв;152.4;165.1;177.6;70;287.2;07.апр;104.5;26.июн;105;183.4;1;02.фев;35.5;02.май;05.июл;01.авг;02.фев;5
03.09.2019;227.9;196.3;237.8;108.1;378.5;41;31;43;05.фев;101.4;314.9;172.9;389.6;11.авг;18.апр;159.3;167;180.1;70.3;282.9;07.май;98.8;25.июл;93.3;176.2;01.янв;02.янв;36.2;02.май;05.авг;01.июн;02.фев;05.янв
04.09.2019;216.8;169.5;222.2;94;316.7;33.6;27;40;05.фев;103.6;294.1;162.8;386.6;11;18.янв;156.6;169.4;169.8;66.3;264.6;7;93.1;26.апр;86.8;162.8;0.8;2;31.4;02.мар;05.сен;01.июл;02.янв;04.авг
05.09.2019;95.3;105.7;205.6;59.2;232.8;33.2;24.июн;42.6;03.мар;85.1;338;202.7;490.5;10.апр;18.июл;201.2;241.2;255.6;83;337.6;8;71.7;23.июл;79.4;129;01.апр;02.янв;23.апр;02.мар;05.апр;01.июн;02.янв;03.сен
06.09.2019;96.5;111.5;213.6;60.2;240.9;33.8;24.янв;43.1;03.фев;89.8;349.9;205.4;499.3;11.янв;18.сен;205.1;247.4;256.9;84.5;346.2;08.мар;72;24.май;79.6;142;01.апр;2;23.сен;02.июн;05.апр;01.июл;02.фев;03.авг
08.09.2019;102.4;115.1;215.2;60.7;249.9;34;24.июл;46;03.фев;89.1;355.9;203.4;479.6;10.сен;19;204.3;256.2;256;84.7;347.2;08.мар;73.4;24.апр;80.3;142.2;01.апр;02.фев;23.июл;02.сен;05.апр;01.авг;02.фев;03.авг
09.09.2019;103.9;116.2;216.8;60.6;256.7;33.7;24.июл;44.8;03.янв;83.7;364.5;200.5;479;10.июн;19.янв;201.3;247.4;258.6;85.3;345.6;08.мар;74.1;23.сен;69.3;141.3;01.апр;02.фев;24.фев;02.сен;05.фев;01.авг;02.янв;03.авг
10.09.2019;105.6;117.4;210.3;63.4;263;34.4;21.май;47.3;03.янв;83.6;362.3;195.1;478.2;10.май;18.сен;198.5;236.7;251.1;84.5;348.3;08.май;75.2;22.сен;64.8;140.2;01.мар;02.мар;24.фев;02.сен;05.авг;01.авг;02.янв;03.сен
11.09.2019;105.7;115.1;202.4;59.1;255.7;33.4;21.янв;47.7;02.авг;84.4;357.9;191.5;468.2;09.сен;18.сен;192.9;236.8;244.8;81.7;339.8;08.мар;68.6;23.мар;71.6;135.2;01.апр;02.фев;24;02.июл;05.авг;01.авг;02.фев;03.авг
12.09.2019;166;175.3;256.5;118.5;353.6;37.8;28.мар;39.9;04.апр;104.7;362.2;202;432;11.мар;18.июл;172.3;174.7;194.8;70;303.6;07.июн;89.3;26.апр;107.6;181.7;0.7;02.апр;24.май;02.май;05.янв;01.июл;02.янв;03.сен
13.09.2019;133.7;157.5;264.3;108;331.6;36.5;28.мар;41.3;04.мар;105.6;368.8;209.7;444.6;11.апр;18.сен;178.1;182.5;201.1;70;312.7;08.фев;95.7;26.май;103;180.8;0.5;02.апр;27.мар;02.апр;05.мар;01.июл;02.мар;04.фев
14.09.2019;147.9;147.1;261.6;91.6;363.8;39.1;29.янв;43;04.июл;105.8;372.6;216.6;457.9;11.апр;18.авг;181.9;185.7;202.6;69.2;324.5;08.апр;97.7;25.июн;91.6;183.8;1;02.апр;28.апр;02.май;05.июл;01.авг;02.мар;05.мар
15.09.2019;177.2;148.6;245.1;100.6;390.3;41.2;29.мар;42.7;5;102.1;379.3;218.7;460;11.апр;18.сен;179.2;183.3;199.3;66.6;318.3;08.мар;104.5;25.авг;101.1;194.7;01.фев;2;32;02.май;05.мар;01.июл;02.янв;5
16.09.2019;192.9;171.8;240;108.6;407.1;42.4;29.май;41.5;05.мар;98.7;390.7;218.6;449.2;11.апр;18.авг;169;182;195.4;61.3;308.9;07.авг;106.1;26.янв;96;188.9;01.май;02.янв;33.6;02.июн;05.июн;01.июн;02.май;04.июл
17.09.2019;206;177.1;244.3;111.1;415;44.6;30.мар;43.1;05.май;101.8;387.4;213.6;430.9;11.апр;18.сен;165.5;165.9;186.6;60.5;291.4;07.сен;105.8;26.сен;95.5;190;01.фев;02.фев;33;02.май;05.июл;01.май;02.мар;5
18.09.2019;211.6;171.5;240.5;105.6;418.2;41.2;28;40.5;05.фев;108.5;339.6;209.9;405.6;11.апр;19.янв;164.9;170.3;168;56;282.4;06.май;109.9;27.апр;95.3;182.7;1;02.фев;30.апр;02.май;05.июн;01.авг;02.мар;06.фев
19.09.2019;118.1;127.4;205.8;97.2;351;39;23.фев;41.6;04.янв;102.1;379.8;202.9;483.8;11.авг;18.апр;193.5;195.2;243.1;83;352.6;08.май;92.8;24.июн;95.1;171.1;01.фев;2;22.мар;01.июл;05.фев;01.июл;2;03.июл
20.09.2019;95.9;95.5;159.2;89.2;284.6;37.5;25.мар;39.3;4;100;359.3;176.6;478.3;14;18.сен;193.9;193.8;249.3;87.3;362.1;08.июл;88.5;26.июн;93.8;178;01.фев;02.янв;20.апр;02.янв;05.мар;01.сен;02.янв;04.июн
21.09.2019;100.7;98.7;146.4;73.7;251.5;34.6;26;39.4;03.фев;99.6;335.8;154;470.4;13.авг;18.июл;193.9;189;241.5;82.4;360.3;08.июл;69.1;22.июн;90.5;162.6;1;02.янв;15.июн;01.май;04.янв;01.сен;02.янв;04.фев
22.09.2019;98.6;106.5;168.3;74.4;269.9;33.7;25.авг;46.7;03.фев;101.8;355.9;181;482.3;13.авг;18.июл;195.6;186.3;217;76.5;306.4;07.фев;81.1;23.май;91.2;170.5;01.янв;02.янв;23.сен;01.июл;05.янв;01.авг;02.янв;04.май
23.09.2019;104.6;114.3;178.1;75.2;301;37.5;26.июн;44.7;03.фев;93.6;358.8;192;477.8;13.авг;18.май;193.5;173.3;220.7;69.2;329;08.июл;86.6;19.июл;80.7;166;1;02.янв;26.янв;01.сен;05.мар;01.авг;02.янв;04.апр
24.09.2019;112.8;116.2;187.2;78.7;315.6;38.1;26.янв;44.7;03.май;95.6;367.5;200.5;487.4;13.авг;18.апр;187.8;167.9;228.6;74.9;330.5;09.фев;89.8;22.июн;79.9;164.3;01.фев;02.янв;23.авг;01.авг;05.мар;01.июн;02.фев;03.июн
25.09.2019;108.5;110.9;190.4;79.2;320.3;35.2;22.май;43;03.мар;95.9;363.6;201.3;468.5;10.мар;18.май;178.1;164.6;216;69.5;304.2;08.апр;92.3;21.янв;80.9;155;1;02.янв;22.сен;02.фев;05.фев;01.авг;02.янв;04.мар
26.09.2019;146.2;155.4;206.5;85.8;324.6;35.5;27.апр;40.8;03.авг;87.8;341.8;181.8;438.4;12.авг;18.янв;165.1;175.4;160.2;68.7;301.2;08.фев;92.9;24.фев;89.9;141.5;0.8;02.янв;29.май;02.апр;05.май;01.июл;02.янв;04.май
27.09.2019;151.2;157.7;211.2;86;326.3;36.1;26.авг;40.3;04.мар;87.1;348;184.5;446.6;12.авг;18.фев;164.4;179.7;160.7;69.6;292.1;07.июл;92.2;24.янв;84.4;148.2;0.9;02.янв;29.апр;02.май;05.июн;01.июн;02.мар;04.авг
28.09.2019;141.5;157.5;213.1;88.3;330.1;35.8;28.янв;38.9;03.сен;86.8;357.3;185.5;452.7;12.авг;18.мар;156.5;180.8;158.1;67.7;282.1;07.май;93.3;24;80.8;141.6;0.8;02.мар;30;02.апр;05.мар;01.июл;02.фев;04.июн
29.09.2019;138.5;156.1;215.5;87.9;327.3;35.6;28.янв;41.3;04.фев;89.5;360.1;187.7;458.8;12.авг;18.июн;152.3;173.4;161.8;67.4;266.3;07.апр;95;24.июл;81.5;154.3;0.9;2;31;02.май;05.май;01.июл;02.фев;04.авг
30.09.2019;118.8;145.9;213;86.4;323.6;35.7;28.янв;30.май;04.янв;83.1;364.7;187.1;441.8;12.авг;18.мар;154.9;163.4;162.5;67.9;276.9;07.май;95.5;25.май;81.7;161.1;0.9;02.янв;30.янв;02.июн;05.апр;01.июл;01.авг;04.сен
01.10.2019;118.9;142.9;208.4;80.7;316.5;34.9;27.авг;39.9;03.сен;78.2;362.1;182.7;400;10.мар;18.фев;155.4;147.6;154.6;67;264.2;06.сен;88.1;24.апр;88;164.8;0.9;01.сен;30.2;02.апр;05.май;01.июл;01.сен;04.июн
02.10.2019;110.9;137.5;202.2;75.3;299.3;31.авг;23.июл;40;03.мар;75.7;343.1;168.1;368.4;10.авг;18.янв;149.7;142.9;138.3;61.8;249.8;06.июн;83.8;22.мар;90.4;156.5;0.8;02.янв;29.янв;02.фев;6;01.авг;01.сен;04.сен
03.10.2019;108.1;126;231;68.9;282.8;38.2;28.май;50.2;03.июл;81.2;256.6;250.5;414.6;09.май;16.июн;159.1;179.7;210.7;66.9;275.1;07.апр;76.7;24.авг;71.5;114.3;01.июн;02.янв;23.сен;02.сен;06.апр;01.авг;02.янв;03.сен
04.10.2019;116.9;131.7;237.6;72.2;295.3;40.6;25.авг;52.5;03.авг;80.1;282.7;249.2;418.4;09.май;17.мар;151.4;171.6;204.2;67.9;240.3;06.май;74.5;21.апр;71.9;116.8;01.мар;02.фев;22.сен;02.сен;06.май;01.сен;02.янв;03.авг
05.10.2019;118;132;240.9;72.3;291.3;39.7;30.мар;48.5;4;79.5;316.4;251.6;421.8;09.май;17.июл;151.2;174;212.2;67.1;227.9;6;73.9;22.авг;73.8;121.4;01.апр;02.янв;21.апр;02.сен;06.янв;01.авг;02.фев;03.сен
06.10.2019;120.1;131.3;244.1;72.2;293.4;39.1;29.июл;50.3;03.авг;77.8;327.5;251.9;421;09.май;17.сен;157;178.2;215.5;66.3;238.1;6;75.3;22.апр;71.8;117.2;01.апр;02.фев;22.авг;02.авг;06.июн;01.сен;02.янв;04.янв
08.10.2019;119;132.4;241.1;73.9;294.9;39.5;29.сен;51.6;03.авг;82.9;329.8;253.4;413.7;11.сен;17.авг;163.4;182.1;215.6;66.4;265.1;06.июл;76.7;21.июл;72.8;121.5;01.апр;02.фев;23.мар;02.авг;05.апр;01.июл;02.фев;04.фев
09.10.2019;114.9;129.5;242;66.2;293.8;39.1;29.мар;50.4;03.июн;83.3;329;250.8;413.1;12;16.авг;165.2;182.5;211.7;66.1;268;7;75.1;21.июл;74;122.6;01.мар;02.мар;23.фев;02.авг;06.июн;01.июн;02.янв;04.янв
10.10.2019;109.1;118.6;239.6;64.6;280;36.2;25.мар;49;03.апр;84.7;321.9;250.8;403.2;12;17.фев;163.4;181.2;197.4;58.8;264.6;06.май;76.2;23.фев;73.3;111;01.янв;02.мар;22.фев;3;06.апр;01.авг;02.янв;4
11.10.2019;156.3;152.5;215.5;110.5;399.9;42.9;27.июл;46.6;05.янв;91.9;378.4;200.3;499.8;11.май;18;193.3;167.1;219.6;85.3;341.5;9;104.2;26.май;91;174.5;01.янв;01.авг;19;02.янв;04.июл;01.июл;01.авг;04.июн
12.10.2019;151.4;152.1;212.5;106;405.6;43;28;46.5;04.авг;90.3;378.9;208.4;500.6;11.май;18.фев;197;169.7;223.6;85.1;344.4;08.сен;100.3;23.июл;81.6;157.1;01.фев;02.янв;21.май;02.апр;05.янв;01.сен;01.сен;4
13.10.2019;153.8;150.7;221.5;102.7;401.4;41.7;29.июн;45.9;04.авг;87.4;376.5;213.9;497.9;11.май;18.янв;196.7;170.1;225.7;84.6;339.4;09.апр;100.2;25.май;81;166.7;01.янв;02.янв;23.авг;02.апр;05.янв;01.июл;02.фев;04.фев
14.10.2019;151.1;151.4;211.8;101.8;404.7;40.7;28.фев;46;04.июн;90.4;377.8;215.3;495.2;11.май;18.фев;197.6;170.1;225;83.4;343.8;09.фев;99.5;26.мар;82.2;184.1;0.9;02.фев;24.сен;02.фев;05.мар;01.авг;01.сен;04.апр
15.10.2019;137.9;143.5;192.2;100.9;394.2;40.8;28.фев;46.1;04.июл;94.1;374.3;216.6;495.1;11.май;17.сен;197.4;175.9;222.2;83.6;348.3;09.фев;103.1;28.сен;90;192.9;01.янв;02.мар;24.авг;02.мар;5;01.июл;02.янв;04.апр
16.10.2019;136.9;137.8;194.9;88.4;364.1;41.7;27.фев;45.9;04.апр;91;371.8;213.3;496.7;11.май;17.авг;197.7;173.4;220.9;81.5;335.7;9;103.6;28.июн;94.9;192.9;01.янв;02.фев;24.май;02.май;05.мар;01.июл;2;04.фев
17.10.2019;134.9;141.2;211.2;89.8;400.3;40.8;23.июл;46.8;03.сен;91.8;360.5;211.6;481.3;11.май;17.апр;196.5;166.2;211.5;78.2;320.9;08.мар;106.3;27.авг;92.6;172;1;02.янв;25.мар;02.апр;05.янв;01.июн;2;4
